TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
0.0,all,1.0,7327,7327,83.18547836768118,6095
0.0,armed conflicts and attacks,1.0,1956,1956,86.29856850715747,1688
0.0,politics and elections,1.0,1328,1328,80.42168674698796,1068
0.0,law and crime,1.0,1196,1196,77.0066889632107,921
0.0,disasters and accidents,1.0,1115,1115,91.30044843049328,1018
0.0,business and economy,1.0,527,527,81.40417457305503,429
0.0,sport,1.0,508,508,93.50393700787401,475
0.0,arts and culture,1.0,401,401,66.08478802992519,265
0.0,science and technology,1.0,296,296,78.04054054054055,231
0.1,all,1.0,7327,7327,83.19912651835676,6096
0.1,armed conflicts and attacks,1.0,1956,1956,86.29856850715747,1688
0.1,politics and elections,1.0,1328,1328,80.42168674698796,1068
0.1,law and crime,1.0,1196,1196,77.0066889632107,921
0.1,disasters and accidents,1.0,1115,1115,91.39013452914799,1019
0.1,business and economy,1.0,527,527,81.40417457305503,429
0.1,sport,1.0,508,508,93.50393700787401,475
0.1,arts and culture,1.0,401,401,66.08478802992519,265
0.1,science and technology,1.0,296,296,78.04054054054055,231
0.2,all,1.0,7327,7327,83.14453391565443,6092
0.2,armed conflicts and attacks,1.0,1956,1956,86.29856850715747,1688
0.2,politics and elections,1.0,1328,1328,80.42168674698796,1068
0.2,law and crime,1.0,1196,1196,76.92307692307692,920
0.2,disasters and accidents,1.0,1115,1115,91.30044843049328,1018
0.2,business and economy,1.0,527,527,81.40417457305503,429
0.2,sport,1.0,508,508,93.50393700787401,475
0.2,arts and culture,1.0,401,401,66.08478802992519,265
0.2,science and technology,1.0,296,296,77.36486486486487,229
0.3,all,0.9994540739729767,7323,7327,83.18994947425918,6092
0.3,armed conflicts and attacks,0.9994887525562373,1955,1956,86.34271099744245,1688
0.3,politics and elections,0.9992469879518072,1327,1328,80.48229088168802,1068
0.3,law and crime,0.9991638795986622,1195,1196,76.98744769874477,920
0.3,disasters and accidents,1.0,1115,1115,91.30044843049328,1018
0.3,business and economy,1.0,527,527,81.40417457305503,429
0.3,sport,1.0,508,508,93.30708661417323,474
0.3,arts and culture,0.9975062344139651,400,401,66.0,264
0.3,science and technology,1.0,296,296,78.04054054054055,231
0.4,all,0.9954961102770574,7294,7327,83.41102275843159,6084
0.4,armed conflicts and attacks,0.9974437627811861,1951,1956,86.51973347001538,1688
0.4,politics and elections,0.9954819277108434,1322,1328,80.63540090771558,1066
0.4,law and crime,0.995819397993311,1191,1196,77.16204869857263,919
0.4,disasters and accidents,0.9955156950672646,1110,1115,91.71171171171171,1018
0.4,business and economy,0.9962049335863378,525,527,81.71428571428571,429
0.4,sport,0.9940944881889764,505,508,93.86138613861387,474
0.4,arts and culture,0.9875311720698254,396,401,65.9090909090909,261
0.4,science and technology,0.9932432432432432,294,296,77.89115646258503,229
0.5,all,0.9792548109731132,7175,7327,84.34843205574913,6052
0.5,armed conflicts and attacks,0.9887525562372188,1934,1956,87.07342295760083,1684
0.5,politics and elections,0.9766566265060241,1297,1328,81.49575944487279,1057
0.5,law and crime,0.9782608695652174,1170,1196,78.2905982905983,916
0.5,disasters and accidents,0.9856502242152466,1099,1115,92.35668789808918,1015
0.5,business and economy,0.9772296015180265,515,527,82.71844660194175,426
0.5,sport,0.9921259842519685,504,508,94.04761904761905,474
0.5,arts and culture,0.9376558603491272,376,401,67.55319148936171,254
0.5,science and technology,0.9459459459459459,280,296,80.71428571428571,226
0.6,all,0.9458168418179337,6930,7327,85.75757575757575,5943
0.6,armed conflicts and attacks,0.9652351738241309,1888,1956,88.13559322033899,1664
0.6,politics and elections,0.9397590361445783,1248,1328,83.01282051282051,1036
0.6,law and crime,0.9297658862876255,1112,1196,80.30575539568345,893
0.6,disasters and accidents,0.9695067264573991,1081,1115,92.96947271045329,1005
0.6,business and economy,0.9354838709677419,493,527,84.38133874239351,416
0.6,sport,0.9724409448818898,494,508,94.93927125506073,469
0.6,arts and culture,0.8628428927680798,346,401,69.36416184971098,240
0.6,science and technology,0.9054054054054054,268,296,82.08955223880596,220
0.7,all,0.9151085027978709,6705,7327,86.77106636838181,5818
0.7,armed conflicts and attacks,0.9371165644171779,1833,1956,89.08892525913802,1633
0.7,politics and elections,0.9081325301204819,1206,1328,84.41127694859038,1018
0.7,law and crime,0.8929765886287625,1068,1196,80.4307116104869,859
0.7,disasters and accidents,0.9488789237668162,1058,1115,93.85633270321361,993
0.7,business and economy,0.9032258064516129,476,527,85.50420168067227,407
0.7,sport,0.9566929133858267,486,508,95.47325102880659,464
0.7,arts and culture,0.8029925187032418,322,401,70.4968944099379,227
0.7,science and technology,0.8648648648648649,256,296,84.765625,217
0.8,all,0.8744370137846322,6407,7327,88.21601373497737,5652
0.8,armed conflicts and attacks,0.9074642126789366,1775,1956,90.14084507042253,1600
0.8,politics and elections,0.8599397590361446,1142,1328,85.90192644483362,981
0.8,law and crime,0.8494983277591973,1016,1196,81.59448818897638,829
0.8,disasters and accidents,0.9255605381165919,1032,1115,94.96124031007751,980
0.8,business and economy,0.855787476280835,451,527,87.13968957871397,393
0.8,sport,0.9212598425196851,468,508,96.7948717948718,453
0.8,arts and culture,0.7032418952618454,282,401,73.40425531914893,207
0.8,science and technology,0.8141891891891891,241,296,86.72199170124482,209
0.9,all,0.8147945953323324,5970,7327,90.46901172529313,5401
0.9,armed conflicts and attacks,0.8624744376278118,1687,1956,92.17545939537641,1555
0.9,politics and elections,0.7944277108433735,1055,1328,88.5308056872038,934
0.9,law and crime,0.7650501672240803,915,1196,85.13661202185793,779
0.9,disasters and accidents,0.8878923766816144,990,1115,96.06060606060606,951
0.9,business and economy,0.7722960151802657,407,527,89.43488943488944,364
0.9,sport,0.889763779527559,452,508,97.78761061946902,442
0.9,arts and culture,0.5985037406483791,240,401,72.5,174
0.9,science and technology,0.7567567567567568,224,296,90.17857142857143,202
