TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
0.0,all,1.0,7327,7327,83.07629316227651,6087
0.0,armed conflicts and attacks,1.0,1956,1956,89.21267893660531,1745
0.0,politics and elections,1.0,1328,1328,79.2921686746988,1053
0.0,law and crime,1.0,1196,1196,75.0,897
0.0,disasters and accidents,1.0,1115,1115,92.10762331838565,1027
0.0,business and economy,1.0,527,527,74.00379506641366,390
0.0,sport,1.0,508,508,90.74803149606299,461
0.0,arts and culture,1.0,401,401,67.33167082294264,270
0.0,science and technology,1.0,296,296,82.43243243243244,244
0.1,all,1.0,7327,7327,83.07629316227651,6087
0.1,armed conflicts and attacks,1.0,1956,1956,89.21267893660531,1745
0.1,politics and elections,1.0,1328,1328,79.2921686746988,1053
0.1,law and crime,1.0,1196,1196,75.0,897
0.1,disasters and accidents,1.0,1115,1115,92.10762331838565,1027
0.1,business and economy,1.0,527,527,74.00379506641366,390
0.1,sport,1.0,508,508,90.74803149606299,461
0.1,arts and culture,1.0,401,401,67.33167082294264,270
0.1,science and technology,1.0,296,296,82.43243243243244,244
0.2,all,1.0,7327,7327,83.06264501160094,6086
0.2,armed conflicts and attacks,1.0,1956,1956,89.21267893660531,1745
0.2,politics and elections,1.0,1328,1328,79.2921686746988,1053
0.2,law and crime,1.0,1196,1196,74.91638795986623,896
0.2,disasters and accidents,1.0,1115,1115,92.10762331838565,1027
0.2,business and economy,1.0,527,527,74.00379506641366,390
0.2,sport,1.0,508,508,90.74803149606299,461
0.2,arts and culture,1.0,401,401,67.33167082294264,270
0.2,science and technology,1.0,296,296,82.43243243243244,244
0.3,all,0.9997270369864883,7325,7327,83.08532423208192,6086
0.3,armed conflicts and attacks,1.0,1956,1956,89.21267893660531,1745
0.3,politics and elections,0.9992469879518072,1327,1328,79.35192162773173,1053
0.3,law and crime,1.0,1196,1196,74.91638795986623,896
0.3,disasters and accidents,1.0,1115,1115,92.19730941704036,1028
0.3,business and economy,1.0,527,527,74.00379506641366,390
0.3,sport,0.9980314960629921,507,508,90.72978303747534,460
0.3,arts and culture,1.0,401,401,67.33167082294264,270
0.3,science and technology,1.0,296,296,82.43243243243244,244
0.4,all,0.9961785178108367,7299,7327,83.25798054528018,6077
0.4,armed conflicts and attacks,0.9994887525562373,1955,1956,89.20716112531969,1744
0.4,politics and elections,0.9977409638554217,1325,1328,79.54716981132076,1054
0.4,law and crime,0.9949832775919732,1190,1196,75.04201680672269,893
0.4,disasters and accidents,0.9982062780269059,1113,1115,92.27313566936209,1027
0.4,business and economy,0.9886148007590133,521,527,74.4721689059501,388
0.4,sport,0.9940944881889764,505,508,90.89108910891089,459
0.4,arts and culture,0.9850374064837906,395,401,68.10126582278481,269
0.4,science and technology,0.9966216216216216,295,296,82.37288135593221,243
0.5,all,0.9853964787771257,7220,7327,83.79501385041551,6050
0.5,armed conflicts and attacks,0.9959100204498977,1948,1956,89.37371663244353,1741
0.5,politics and elections,0.983433734939759,1306,1328,80.16845329249617,1047
0.5,law and crime,0.9874581939799331,1181,1196,75.44453852667232,891
0.5,disasters and accidents,0.9910313901345291,1105,1115,92.66968325791855,1024
0.5,business and economy,0.967741935483871,510,527,76.07843137254902,388
0.5,sport,0.9822834645669292,499,508,91.38276553106212,456
0.5,arts and culture,0.9551122194513716,383,401,68.9295039164491,264
0.5,science and technology,0.972972972972973,288,296,82.98611111111111,239
0.6,all,0.9546881397570629,6995,7327,85.13223731236597,5955
0.6,armed conflicts and attacks,0.9775051124744376,1912,1956,90.1673640167364,1724
0.6,politics and elections,0.9503012048192772,1262,1328,81.77496038034866,1032
0.6,law and crime,0.93561872909699,1119,1196,77.21179624664879,864
0.6,disasters and accidents,0.9757847533632287,1088,1115,93.38235294117646,1016
0.6,business and economy,0.9316888045540797,491,527,77.59674134419552,381
0.6,sport,0.9547244094488189,485,508,92.78350515463917,450
0.6,arts and culture,0.9002493765586035,361,401,70.6371191135734,255
0.6,science and technology,0.9358108108108109,277,296,84.11552346570397,233
0.7,all,0.9201583185478368,6742,7327,86.62118065855829,5840
0.7,armed conflicts and attacks,0.9606339468302658,1879,1956,91.0590739755189,1711
0.7,politics and elections,0.9088855421686747,1207,1328,83.26429163214581,1005
0.7,law and crime,0.8821070234113713,1055,1196,79.24170616113744,836
0.7,disasters and accidents,0.9524663677130045,1062,1115,94.53860640301318,1004
0.7,business and economy,0.8861480075901328,467,527,79.22912205567452,370
0.7,sport,0.9350393700787402,475,508,93.89473684210526,446
0.7,arts and culture,0.8453865336658354,339,401,72.8613569321534,247
0.7,science and technology,0.8716216216216216,258,296,85.65891472868218,221
0.8,all,0.8813975706291798,6458,7327,87.95292660266337,5680
0.8,armed conflicts and attacks,0.934560327198364,1828,1956,91.90371991247265,1680
0.8,politics and elections,0.8637048192771084,1147,1328,84.30688753269398,967
0.8,law and crime,0.830267558528428,993,1196,80.76535750251762,802
0.8,disasters and accidents,0.9318385650224216,1039,1115,95.28392685274302,990
