TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
0.0,all,1.0,7327,7327,82.12092261498567,6017
0.0,armed conflicts and attacks,1.0,1956,1956,87.52556237218813,1712
0.0,politics and elections,1.0,1328,1328,76.12951807228916,1011
0.0,law and crime,1.0,1196,1196,75.25083612040133,900
0.0,disasters and accidents,1.0,1115,1115,91.21076233183857,1017
0.0,business and economy,1.0,527,527,70.58823529411765,372
0.0,sport,1.0,508,508,92.71653543307086,471
0.0,arts and culture,1.0,401,401,73.81546134663341,296
0.0,science and technology,1.0,296,296,80.4054054054054,238
0.1,all,1.0,7327,7327,82.07997816295892,6014
0.1,armed conflicts and attacks,1.0,1956,1956,87.52556237218813,1712
0.1,politics and elections,1.0,1328,1328,76.05421686746988,1010
0.1,law and crime,1.0,1196,1196,75.16722408026756,899
0.1,disasters and accidents,1.0,1115,1115,91.21076233183857,1017
0.1,business and economy,1.0,527,527,70.58823529411765,372
0.1,sport,1.0,508,508,92.71653543307086,471
0.1,arts and culture,1.0,401,401,73.56608478802993,295
0.1,science and technology,1.0,296,296,80.4054054054054,238
0.2,all,1.0,7327,7327,82.10727446431008,6016
0.2,armed conflicts and attacks,1.0,1956,1956,87.52556237218813,1712
0.2,politics and elections,1.0,1328,1328,76.05421686746988,1010
0.2,law and crime,1.0,1196,1196,75.33444816053512,901
0.2,disasters and accidents,1.0,1115,1115,91.21076233183857,1017
0.2,business and economy,1.0,527,527,70.58823529411765,372
0.2,sport,1.0,508,508,92.71653543307086,471
0.2,arts and culture,1.0,401,401,73.56608478802993,295
0.2,science and technology,1.0,296,296,80.4054054054054,238
0.3,all,0.9995905554797325,7324,7327,82.12725286728563,6015
0.3,armed conflicts and attacks,1.0,1956,1956,87.52556237218813,1712
0.3,politics and elections,0.9984939759036144,1326,1328,76.16892911010558,1010
0.3,law and crime,1.0,1196,1196,75.33444816053512,901
0.3,disasters and accidents,1.0,1115,1115,91.21076233183857,1017
0.3,business and economy,1.0,527,527,70.58823529411765,372
0.3,sport,1.0,508,508,92.71653543307086,471
0.3,arts and culture,1.0,401,401,73.31670822942644,294
0.3,science and technology,0.9966216216216216,295,296,80.67796610169492,238
0.4,all,0.99508666575679,7291,7327,82.37553147716362,6006
0.4,armed conflicts and attacks,0.9984662576687117,1953,1956,87.55760368663594,1710
0.4,politics and elections,0.9939759036144579,1320,1328,76.43939393939394,1009
0.4,law and crime,0.9966555183946488,1192,1196,75.33557046979865,898
0.4,disasters and accidents,0.9928251121076234,1107,1115,91.869918699187,1017
0.4,business and economy,0.9848197343453511,519,527,71.09826589595376,369
0.4,sport,0.9980314960629921,507,508,92.89940828402366,471
0.4,arts and culture,0.9975062344139651,400,401,73.5,294
0.4,science and technology,0.9898648648648649,293,296,81.22866894197952,238
0.5,all,0.9808925890541832,7187,7327,83.03882009183248,5968
0.5,armed conflicts and attacks,0.9902862985685071,1937,1956,87.86783686112545,1702
0.5,politics and elections,0.9728915662650602,1292,1328,77.3219814241486,999
0.5,law and crime,0.9824414715719063,1175,1196,75.82978723404256,891
0.5,disasters and accidents,0.9838565022421525,1097,1115,92.52506836827712,1015
0.5,business and economy,0.9620493358633776,507,527,71.7948717948718,364
