TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
0.0,all,1.0,7327,7327,82.5986078886311,6052
0.0,armed conflicts and attacks,1.0,1956,1956,89.05930470347649,1742
0.0,politics and elections,1.0,1328,1328,82.2289156626506,1092
0.0,law and crime,1.0,1196,1196,69.64882943143813,833
0.0,disasters and accidents,1.0,1115,1115,93.18385650224215,1039
0.0,business and economy,1.0,527,527,74.573055028463,393
0.0,sport,1.0,508,508,91.53543307086615,465
0.0,arts and culture,1.0,401,401,67.58104738154613,271
0.0,science and technology,1.0,296,296,73.3108108108108,217
0.1,all,1.0,7327,7327,82.65320049133342,6056
0.1,armed conflicts and attacks,1.0,1956,1956,89.11042944785277,1743
0.1,politics and elections,1.0,1328,1328,82.30421686746988,1093
0.1,law and crime,1.0,1196,1196,69.7324414715719,834
0.1,disasters and accidents,1.0,1115,1115,93.18385650224215,1039
0.1,business and economy,1.0,527,527,74.573055028463,393
0.1,sport,1.0,508,508,91.53543307086615,465
0.1,arts and culture,1.0,401,401,67.83042394014963,272
0.1,science and technology,1.0,296,296,73.3108108108108,217
0.2,all,1.0,7327,7327,82.63955234065784,6055
0.2,armed conflicts and attacks,1.0,1956,1956,89.05930470347649,1742
0.2,politics and elections,1.0,1328,1328,82.37951807228916,1094
0.2,law and crime,1.0,1196,1196,69.64882943143813,833
0.2,disasters and accidents,1.0,1115,1115,93.18385650224215,1039
0.2,business and economy,1.0,527,527,74.573055028463,393
0.2,sport,1.0,508,508,91.53543307086615,465
0.2,arts and culture,1.0,401,401,67.83042394014963,272
0.2,science and technology,1.0,296,296,73.3108108108108,217
0.3,all,0.9995905554797325,7324,7327,82.6597487711633,6054
0.3,armed conflicts and attacks,0.9994887525562373,1955,1956,89.10485933503837,1742
0.3,politics and elections,0.9992469879518072,1327,1328,82.44159758854559,1094
0.3,law and crime,1.0,1196,1196,69.56521739130434,832
0.3,disasters and accidents,0.9991031390134529,1114,1115,93.26750448833035,1039
0.3,business and economy,1.0,527,527,74.573055028463,393
0.3,sport,1.0,508,508,91.53543307086615,465
0.3,arts and culture,1.0,401,401,67.83042394014963,272
0.3,science and technology,1.0,296,296,73.3108108108108,217
0.4,all,0.995905554797325,7297,7327,82.82855968206113,6044
0.4,armed conflicts and attacks,0.9959100204498977,1948,1956,89.37371663244353,1741
0.4,politics and elections,0.9977409638554217,1325,1328,82.64150943396227,1095
0.4,law and crime,0.9974916387959866,1193,1196,69.57250628667225,830
0.4,disasters and accidents,0.9955156950672646,1110,1115,93.33333333333333,1036
0.4,business and economy,0.9962049335863378,525,527,74.85714285714286,393
0.4,sport,0.9980314960629921,507,508,91.51873767258382,464
0.4,arts and culture,0.9850374064837906,395,401,68.10126582278481,269
0.4,science and technology,0.9932432432432432,294,296,73.46938775510205,216
0.5,all,0.9813020335744507,7190,7327,83.54659248956885,6007
0.5,armed conflicts and attacks,0.9872188139059305,1931,1956,89.79803210771621,1734
0.5,politics and elections,0.9819277108433735,1304,1328,83.12883435582822,1084
0.5,law and crime,0.9740802675585284,1165,1196,70.21459227467811,818
0.5,disasters and accidents,0.9865470852017937,1100,1115,94.0909090909091,1035
0.5,business and economy,0.9905123339658444,522,527,75.28735632183908,393
0.5,sport,0.9921259842519685,504,508,91.86507936507937,463
0.5,arts and culture,0.9576059850374065,384,401,69.79166666666667,268
0.5,science and technology,0.9459459459459459,280,296,75.71428571428571,212
0.6,all,0.9497748055138528,6959,7327,84.82540594913063,5903
0.6,armed conflicts and attacks,0.9693251533742331,1896,1956,90.66455696202532,1719
0.6,politics and elections,0.9420180722891566,1251,1328,84.57234212629896,1058
0.6,law and crime,0.9297658862876255,1112,1196,71.0431654676259,790
0.6,disasters and accidents,0.9748878923766816,1087,1115,95.03219871205152,1033
0.6,business and economy,0.9506641366223909,501,527,76.84630738522954,385
0.6,sport,0.9704724409448819,493,508,93.10344827586206,459
0.6,arts and culture,0.8877805486284289,356,401,71.91011235955057,256
0.6,science and technology,0.8885135135135135,263,296,77.18631178707224,203
0.7,all,0.9144260952640917,6700,7327,86.22388059701493,5777
0.7,armed conflicts and attacks,0.9432515337423313,1845,1956,91.92411924119241,1696
0.7,politics and elections,0.9051204819277109,1202,1328,85.44093178036606,1027
0.7,law and crime,0.8812709030100334,1054,1196,72.77039848197343,767
0.7,disasters and accidents,0.9632286995515695,1074,1115,95.71694599627561,1028
0.7,business and economy,0.9070208728652751,478,527,78.03347280334728,373
0.7,sport,0.9389763779527559,477,508,93.9203354297694,448
0.7,arts and culture,0.8154613466334164,327,401,73.70030581039755,241
0.7,science and technology,0.8209459459459459,243,296,81.06995884773663,197
0.8,all,0.8700696055684455,6375,7327,87.74901960784314,5594
0.8,armed conflicts and attacks,0.9130879345603272,1786,1956,92.83314669652856,1658
0.8,politics and elections,0.8629518072289156,1146,1328,86.99825479930192,997
0.8,law and crime,0.8118729096989966,971,1196,73.84140061791967,717
0.8,disasters and accidents,0.9426008968609866,1051,1115,96.57469077069457,1015
0.8,business and economy,0.8311195445920304,438,527,81.05022831050228,355
0.8,sport,0.8996062992125984,457,508,95.40481400437636,436
0.8,arts and culture,0.7506234413965087,301,401,75.41528239202658,227
0.8,science and technology,0.7601351351351351,225,296,84.0,189
0.9,all,0.8072881124607616,5915,7327,90.09298393913778,5329
0.9,armed conflicts and attacks,0.8650306748466258,1692,1956,94.73995271867612,1603
0.9,politics and elections,0.7936746987951807,1054,1328,89.27893738140418,941
0.9,law and crime,0.7165551839464883,857,1196,77.36289381563594,663
0.9,disasters and accidents,0.9228699551569507,1029,1115,97.37609329446065,1002
0.9,business and economy,0.74573055028463,393,527,83.46055979643766,328
0.9,sport,0.8582677165354331,436,508,97.01834862385321,423
0.9,arts and culture,0.6334164588528678,254,401,76.77165354330708,195
0.9,science and technology,0.6756756756756757,200,296,87.0,174
