TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
0.0,all,1.0,7327,7327,82.5167189845776,6046
0.0,armed conflicts and attacks,1.0,1956,1956,87.93456032719837,1720
0.0,politics and elections,1.0,1328,1328,80.57228915662651,1070
0.0,law and crime,1.0,1196,1196,74.49832775919732,891
0.0,disasters and accidents,1.0,1115,1115,92.91479820627802,1036
0.0,business and economy,1.0,527,527,68.3111954459203,360
0.0,sport,1.0,508,508,91.92913385826772,467
0.0,arts and culture,1.0,401,401,66.58354114713217,267
0.0,science and technology,1.0,296,296,79.39189189189189,235
0.1,all,1.0,7327,7327,82.55766343660434,6049
0.1,armed conflicts and attacks,1.0,1956,1956,87.98568507157464,1721
0.1,politics and elections,1.0,1328,1328,80.64759036144578,1071
0.1,law and crime,1.0,1196,1196,74.58193979933111,892
0.1,disasters and accidents,1.0,1115,1115,92.91479820627802,1036
0.1,business and economy,1.0,527,527,68.1214421252372,359
0.1,sport,1.0,508,508,91.92913385826772,467
0.1,arts and culture,1.0,401,401,66.83291770573567,268
0.1,science and technology,1.0,296,296,79.39189189189189,235
0.2,all,1.0,7327,7327,82.53036713525317,6047
0.2,armed conflicts and attacks,1.0,1956,1956,87.93456032719837,1720
0.2,politics and elections,1.0,1328,1328,80.64759036144578,1071
0.2,law and crime,1.0,1196,1196,74.58193979933111,892
0.2,disasters and accidents,1.0,1115,1115,92.91479820627802,1036
0.2,business and economy,1.0,527,527,68.1214421252372,359
0.2,sport,1.0,508,508,91.92913385826772,467
0.2,arts and culture,1.0,401,401,66.58354114713217,267
0.2,science and technology,1.0,296,296,79.39189189189189,235
0.3,all,0.9994540739729767,7323,7327,82.60275843233647,6049
0.3,armed conflicts and attacks,0.9994887525562373,1955,1956,87.97953964194373,1720
0.3,politics and elections,1.0,1328,1328,80.64759036144578,1071
0.3,law and crime,1.0,1196,1196,74.66555183946488,893
0.3,disasters and accidents,0.9991031390134529,1114,1115,92.99820466786356,1036
0.3,business and economy,0.9981024667931688,526,527,68.44106463878327,360
0.3,sport,0.9980314960629921,507,508,92.11045364891518,467
0.3,arts and culture,1.0,401,401,66.58354114713217,267
0.3,science and technology,1.0,296,296,79.39189189189189,235
0.4,all,0.9957690732905691,7296,7327,82.7576754385965,6038
0.4,armed conflicts and attacks,0.9979550102249489,1952,1956,88.06352459016394,1719
0.4,politics and elections,0.9992469879518072,1327,1328,80.55764883195177,1069
0.4,law and crime,0.9991638795986622,1195,1196,74.39330543933055,889
0.4,disasters and accidents,0.9946188340807175,1109,1115,93.3273219116321,1035
0.4,business and economy,0.9848197343453511,519,527,68.78612716763006,357
0.4,sport,0.9940944881889764,505,508,92.47524752475248,467
0.4,arts and culture,0.9900249376558603,397,401,67.2544080604534,267
0.4,science and technology,0.9864864864864865,292,296,80.47945205479452,235
0.5,all,0.983485737682544,7206,7327,83.48598390230363,6016
