TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
0.0,all,1.0,7327,7327,81.71147809471816,5987
0.0,armed conflicts and attacks,1.0,1956,1956,86.60531697341513,1694
0.0,politics and elections,1.0,1328,1328,77.48493975903614,1029
0.0,law and crime,1.0,1196,1196,71.23745819397993,852
0.0,disasters and accidents,1.0,1115,1115,90.94170403587444,1014
0.0,business and economy,1.0,527,527,76.66034155597723,404
0.0,sport,1.0,508,508,90.35433070866142,459
0.0,arts and culture,1.0,401,401,76.55860349127182,307
0.0,science and technology,1.0,296,296,77.02702702702703,228
0.1,all,1.0,7327,7327,81.71147809471816,5987
0.1,armed conflicts and attacks,1.0,1956,1956,86.60531697341513,1694
0.1,politics and elections,1.0,1328,1328,77.33433734939759,1027
0.1,law and crime,1.0,1196,1196,71.23745819397993,852
0.1,disasters and accidents,1.0,1115,1115,90.94170403587444,1014
0.1,business and economy,1.0,527,527,76.85009487666034,405
0.1,sport,1.0,508,508,90.35433070866142,459
0.1,arts and culture,1.0,401,401,77.0573566084788,309
0.1,science and technology,1.0,296,296,76.6891891891892,227
0.2,all,1.0,7327,7327,81.69782994404258,5986
0.2,armed conflicts and attacks,1.0,1956,1956,86.60531697341513,1694
0.2,politics and elections,1.0,1328,1328,77.40963855421687,1028
0.2,law and crime,1.0,1196,1196,71.15384615384616,851
0.2,disasters and accidents,1.0,1115,1115,90.94170403587444,1014
0.2,business and economy,1.0,527,527,76.66034155597723,404
0.2,sport,1.0,508,508,90.35433070866142,459
0.2,arts and culture,1.0,401,401,77.0573566084788,309
0.2,science and technology,1.0,296,296,76.6891891891892,227
0.3,all,0.9998635184932442,7326,7327,81.68168168168168,5984
0.3,armed conflicts and attacks,1.0,1956,1956,86.55419222903886,1693
0.3,politics and elections,1.0,1328,1328,77.33433734939759,1027
0.3,law and crime,1.0,1196,1196,71.15384615384616,851
0.3,disasters and accidents,1.0,1115,1115,90.94170403587444,1014
0.3,business and economy,0.9981024667931688,526,527,76.80608365019012,404
0.3,sport,1.0,508,508,90.35433070866142,459
0.3,arts and culture,1.0,401,401,76.80798004987531,308
0.3,science and technology,1.0,296,296,77.02702702702703,228
0.4,all,0.995905554797325,7297,7327,81.96519117445526,5981
0.4,armed conflicts and attacks,0.9959100204498977,1948,1956,86.96098562628337,1694
0.4,politics and elections,0.9977409638554217,1325,1328,77.50943396226415,1027
0.4,law and crime,0.9941471571906354,1189,1196,71.48864592094196,850
0.4,disasters and accidents,0.9982062780269059,1113,1115,91.10512129380054,1014
0.4,business and economy,0.9924098671726755,523,527,76.67304015296367,401
0.4,sport,0.9980314960629921,507,508,90.53254437869822,459
0.4,arts and culture,0.9950124688279302,399,401,77.19298245614036,308
0.4,science and technology,0.9898648648648649,293,296,77.81569965870307,228
0.5,all,0.9814385150812065,7191,7327,82.58934779585593,5939
0.5,armed conflicts and attacks,0.9872188139059305,1931,1956,87.36406007250129,1687
0.5,politics and elections,0.9811746987951807,1303,1328,78.12739831158864,1018
0.5,law and crime,0.975752508361204,1167,1196,72.15081405312768,842
0.5,disasters and accidents,0.989237668161435,1103,1115,91.74977334542157,1012
0.5,business and economy,0.9772296015180265,515,527,77.66990291262135,400
0.5,sport,0.9822834645669292,499,508,91.38276553106212,456
0.5,arts and culture,0.9750623441396509,391,401,77.2378516624041,302
0.5,science and technology,0.9527027027027027,282,296,78.72340425531915,222
0.6,all,0.9500477685273645,6961,7327,83.88162620313173,5839
0.6,armed conflicts and attacks,0.9708588957055214,1899,1956,88.46761453396525,1680
0.6,politics and elections,0.9382530120481928,1246,1328,79.7752808988764,994
0.6,law and crime,0.9230769230769231,1104,1196,73.46014492753623,811
0.6,disasters and accidents,0.967713004484305,1079,1115,92.21501390176088,995
0.6,business and economy,0.9430740037950665,497,527,79.27565392354124,394
0.6,sport,0.9645669291338582,490,508,92.65306122448979,454
0.6,arts and culture,0.9301745635910225,373,401,79.35656836461126,296
0.6,science and technology,0.9222972972972973,273,296,78.75457875457876,215
0.7,all,0.918384058960011,6729,7327,85.27270025263783,5738
0.7,armed conflicts and attacks,0.9483640081799591,1855,1956,89.75741239892183,1665
0.7,politics and elections,0.9028614457831325,1199,1328,81.15095913261051,973
0.7,law and crime,0.882943143812709,1056,1196,74.43181818181819,786
0.7,disasters and accidents,0.9479820627802691,1057,1115,93.4720908230842,988
0.7,business and economy,0.8918406072106262,470,527,81.48936170212765,383
0.7,sport,0.9429133858267716,479,508,93.73695198329854,449
0.7,arts and culture,0.8753117206982544,351,401,81.19658119658119,285
0.7,science and technology,0.8851351351351351,262,296,79.77099236641222,209
0.8,all,0.878667940494063,6438,7327,86.89033861447655,5594
0.8,armed conflicts and attacks,0.918200408997955,1796,1956,90.97995545657015,1634
0.8,politics and elections,0.865210843373494,1149,1328,82.76762402088772,951
0.8,law and crime,0.8177257525083612,978,1196,76.89161554192229,752
0.8,disasters and accidents,0.9237668161434978,1030,1115,94.85436893203884,977
0.8,business and economy,0.8178368121442126,431,527,82.83062645011601,357
0.8,sport,0.9192913385826772,467,508,94.64668094218415,442
0.8,arts and culture,0.8329177057356608,334,401,82.33532934131736,275
0.8,science and technology,0.8547297297297297,253,296,81.42292490118577,206
0.9,all,0.819298485055275,6003,7327,88.8055972013993,5331
0.9,armed conflicts and attacks,0.8803680981595092,1722,1956,92.04413472706156,1585
0.9,politics and elections,0.7981927710843374,1060,1328,85.37735849056604,905
0.9,law and crime,0.7140468227424749,854,1196,79.39110070257611,678
0.9,disasters and accidents,0.8941704035874439,997,1115,95.98796389167502,957
0.9,business and economy,0.7514231499051234,396,527,84.0909090909091,333
0.9,sport,0.8759842519685039,445,508,95.73033707865169,426
0.9,arts and culture,0.7456359102244389,299,401,84.2809364548495,252
0.9,science and technology,0.777027027027027,230,296,84.78260869565217,195
