TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
0.0,all,1.0,7327,7327,83.41749692916609,6112
0.0,armed conflicts and attacks,1.0,1956,1956,89.16155419222903,1744
0.0,politics and elections,1.0,1328,1328,82.53012048192771,1096
0.0,law and crime,1.0,1196,1196,76.33779264214047,913
0.0,disasters and accidents,1.0,1115,1115,91.5695067264574,1021
0.0,business and economy,1.0,527,527,74.573055028463,393
0.0,sport,1.0,508,508,92.1259842519685,468
0.0,arts and culture,1.0,401,401,58.35411471321696,234
0.0,science and technology,1.0,296,296,82.0945945945946,243
0.1,all,1.0,7327,7327,83.44479323051726,6114
0.1,armed conflicts and attacks,1.0,1956,1956,89.16155419222903,1744
0.1,politics and elections,1.0,1328,1328,82.53012048192771,1096
0.1,law and crime,1.0,1196,1196,76.33779264214047,913
0.1,disasters and accidents,1.0,1115,1115,91.5695067264574,1021
0.1,business and economy,1.0,527,527,74.76280834914611,394
0.1,sport,1.0,508,508,92.1259842519685,468
0.1,arts and culture,1.0,401,401,58.35411471321696,234
0.1,science and technology,1.0,296,296,82.43243243243244,244
0.2,all,1.0,7327,7327,83.41749692916609,6112
0.2,armed conflicts and attacks,1.0,1956,1956,89.16155419222903,1744
0.2,politics and elections,1.0,1328,1328,82.605421686747,1097
0.2,law and crime,1.0,1196,1196,76.33779264214047,913
0.2,disasters and accidents,1.0,1115,1115,91.5695067264574,1021
0.2,business and economy,1.0,527,527,74.38330170777989,392
0.2,sport,1.0,508,508,92.1259842519685,468
0.2,arts and culture,1.0,401,401,58.35411471321696,234
0.2,science and technology,1.0,296,296,82.0945945945946,243
0.3,all,0.9994540739729767,7323,7327,83.46306158678138,6112
0.3,armed conflicts and attacks,1.0,1956,1956,89.16155419222903,1744
0.3,politics and elections,0.9992469879518072,1327,1328,82.59231348907309,1096
0.3,law and crime,1.0,1196,1196,76.33779264214047,913
0.3,disasters and accidents,1.0,1115,1115,91.5695067264574,1021
0.3,business and economy,0.9962049335863378,525,527,74.85714285714286,393
0.3,sport,1.0,508,508,92.1259842519685,468
0.3,arts and culture,1.0,401,401,58.35411471321696,234
0.3,science and technology,0.9966216216216216,295,296,82.37288135593221,243
0.4,all,0.9948137027432783,7289,7327,83.74262587460557,6104
0.4,armed conflicts and attacks,0.9969325153374233,1950,1956,89.33333333333333,1742
0.4,politics and elections,0.9939759036144579,1320,1328,82.87878787878788,1094
0.4,law and crime,0.995819397993311,1191,1196,76.65827036104115,913
0.4,disasters and accidents,0.9973094170403587,1112,1115,91.72661870503597,1020
0.4,business and economy,0.9943074003795066,524,527,74.80916030534351,392
0.4,sport,1.0,508,508,92.1259842519685,468
0.4,arts and culture,0.9775561097256857,392,401,59.183673469387756,232
0.4,science and technology,0.9864864864864865,292,296,83.21917808219177,243
0.5,all,0.9811655520676948,7189,7327,84.49019335095285,6074
0.5,armed conflicts and attacks,0.9918200408997955,1940,1956,89.69072164948453,1740
0.5,politics and elections,0.9841867469879518,1307,1328,83.55011476664116,1092
0.5,law and crime,0.975752508361204,1167,1196,77.80634104541559,908
0.5,disasters and accidents,0.9937219730941704,1108,1115,91.87725631768953,1018
0.5,business and economy,0.9639468690702088,508,527,75.78740157480316,385
0.5,sport,0.9921259842519685,504,508,92.65873015873017,467
0.5,arts and culture,0.9276807980049875,372,401,60.483870967741936,225
0.5,science and technology,0.956081081081081,283,296,84.45229681978799,239
0.6,all,0.9490923979800737,6954,7327,85.67730802415876,5958
0.6,armed conflicts and attacks,0.9729038854805726,1903,1956,90.6988964792433,1726
0.6,politics and elections,0.9570783132530121,1271,1328,84.57907159716758,1075
0.6,law and crime,0.9280936454849499,1110,1196,79.45945945945945,882
0.6,disasters and accidents,0.9713004484304932,1083,1115,93.07479224376732,1008
0.6,business and economy,0.9089184060721063,479,527,76.20041753653445,365
0.6,sport,0.9665354330708661,491,508,94.09368635437882,462
0.6,arts and culture,0.8628428927680798,346,401,60.69364161849711,210
0.6,science and technology,0.9155405405405406,271,296,84.87084870848709,230
0.7,all,0.91087757608844,6674,7327,87.21905903506143,5821
0.7,armed conflicts and attacks,0.9483640081799591,1855,1956,91.80592991913747,1703
0.7,politics and elections,0.9096385542168675,1208,1328,86.09271523178808,1040
0.7,law and crime,0.8704013377926422,1041,1196,81.46013448607108,848
0.7,disasters and accidents,0.957847533632287,1068,1115,93.72659176029963,1001
