TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
0.0,all,1.0,7327,7327,83.36290432646376,6108
0.0,armed conflicts and attacks,1.0,1956,1956,91.20654396728017,1784
0.0,politics and elections,1.0,1328,1328,78.23795180722891,1039
0.0,law and crime,1.0,1196,1196,73.4113712374582,878
0.0,disasters and accidents,1.0,1115,1115,91.83856502242152,1024
0.0,business and economy,1.0,527,527,75.90132827324479,400
0.0,sport,1.0,508,508,92.71653543307086,471
0.0,arts and culture,1.0,401,401,66.33416458852868,266
0.0,science and technology,1.0,296,296,83.10810810810811,246
0.1,all,1.0,7327,7327,83.33560802511259,6106
0.1,armed conflicts and attacks,1.0,1956,1956,91.15541922290389,1783
0.1,politics and elections,1.0,1328,1328,78.08734939759036,1037
0.1,law and crime,1.0,1196,1196,73.4113712374582,878
0.1,disasters and accidents,1.0,1115,1115,91.83856502242152,1024
0.1,business and economy,1.0,527,527,75.90132827324479,400
0.1,sport,1.0,508,508,92.71653543307086,471
0.1,arts and culture,1.0,401,401,66.58354114713217,267
0.1,science and technology,1.0,296,296,83.10810810810811,246
0.2,all,1.0,7327,7327,83.33560802511259,6106
0.2,armed conflicts and attacks,1.0,1956,1956,91.20654396728017,1784
0.2,politics and elections,1.0,1328,1328,78.16265060240964,1038
0.2,law and crime,1.0,1196,1196,73.4113712374582,878
0.2,disasters and accidents,1.0,1115,1115,91.74887892376681,1023
0.2,business and economy,1.0,527,527,75.90132827324479,400
0.2,sport,1.0,508,508,92.71653543307086,471
0.2,arts and culture,1.0,401,401,66.33416458852868,266
0.2,science and technology,1.0,296,296,83.10810810810811,246
0.3,all,0.9998635184932442,7326,7327,83.34698334698335,6106
0.3,armed conflicts and attacks,0.9994887525562373,1955,1956,91.20204603580562,1783
0.3,politics and elections,1.0,1328,1328,78.16265060240964,1038
0.3,law and crime,1.0,1196,1196,73.4113712374582,878
0.3,disasters and accidents,1.0,1115,1115,91.74887892376681,1023
0.3,business and economy,1.0,527,527,75.90132827324479,400
0.3,sport,1.0,508,508,92.71653543307086,471
0.3,arts and culture,1.0,401,401,66.58354114713217,267
0.3,science and technology,1.0,296,296,83.10810810810811,246
0.4,all,0.9953596287703016,7293,7327,83.62813656931304,6099
0.4,armed conflicts and attacks,0.9974437627811861,1951,1956,91.33777549974373,1782
0.4,politics and elections,0.9939759036144579,1320,1328,78.63636363636364,1038
0.4,law and crime,0.995819397993311,1191,1196,73.55163727959697,876
0.4,disasters and accidents,0.9946188340807175,1109,1115,92.15509467989179,1022
0.4,business and economy,0.9943074003795066,524,527,76.14503816793894,399
0.4,sport,0.9980314960629921,507,508,92.89940828402366,471
0.4,arts and culture,0.9875311720698254,396,401,66.91919191919192,265
0.4,science and technology,0.9966216216216216,295,296,83.38983050847457,246
