TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
0.0,all,1.0,7327,7327,83.34925617578818,6107
0.0,armed conflicts and attacks,1.0,1956,1956,86.86094069529652,1699
0.0,politics and elections,1.0,1328,1328,79.96987951807229,1062
0.0,law and crime,1.0,1196,1196,79.4314381270903,950
0.0,disasters and accidents,1.0,1115,1115,91.83856502242152,1024
0.0,business and economy,1.0,527,527,77.03984819734346,406
0.0,sport,1.0,508,508,93.50393700787401,475
0.0,arts and culture,1.0,401,401,63.84039900249377,256
0.0,science and technology,1.0,296,296,79.39189189189189,235
0.1,all,1.0,7327,7327,83.36290432646376,6108
0.1,armed conflicts and attacks,1.0,1956,1956,86.86094069529652,1699
0.1,politics and elections,1.0,1328,1328,79.96987951807229,1062
0.1,law and crime,1.0,1196,1196,79.51505016722408,951
0.1,disasters and accidents,1.0,1115,1115,91.83856502242152,1024
0.1,business and economy,1.0,527,527,77.03984819734346,406
0.1,sport,1.0,508,508,93.50393700787401,475
0.1,arts and culture,1.0,401,401,63.84039900249377,256
0.1,science and technology,1.0,296,296,79.39189189189189,235
0.2,all,1.0,7327,7327,83.37655247713934,6109
0.2,armed conflicts and attacks,1.0,1956,1956,86.9120654396728,1700
0.2,politics and elections,1.0,1328,1328,79.96987951807229,1062
0.2,law and crime,1.0,1196,1196,79.51505016722408,951
0.2,disasters and accidents,1.0,1115,1115,91.83856502242152,1024
0.2,business and economy,1.0,527,527,77.03984819734346,406
0.2,sport,1.0,508,508,93.50393700787401,475
0.2,arts and culture,1.0,401,401,63.84039900249377,256
0.2,science and technology,1.0,296,296,79.39189189189189,235
0.3,all,0.9994540739729767,7323,7327,83.42209476990304,6109
0.3,armed conflicts and attacks,1.0,1956,1956,86.9120654396728,1700
0.3,politics and elections,0.9992469879518072,1327,1328,80.0301431801055,1062
0.3,law and crime,1.0,1196,1196,79.51505016722408,951
0.3,disasters and accidents,1.0,1115,1115,91.83856502242152,1024
0.3,business and economy,1.0,527,527,77.03984819734346,406
0.3,sport,1.0,508,508,93.50393700787401,475
0.3,arts and culture,0.9950124688279302,399,401,64.16040100250626,256
0.3,science and technology,0.9966216216216216,295,296,79.66101694915254,235
0.4,all,0.9963149993175925,7300,7327,83.6027397260274,6103
0.4,armed conflicts and attacks,0.9979550102249489,1952,1956,87.0389344262295,1699
0.4,politics and elections,0.9984939759036144,1326,1328,80.09049773755656,1062
0.4,law and crime,0.9974916387959866,1193,1196,79.71500419111484,951
0.4,disasters and accidents,0.9964125560538116,1111,1115,92.16921692169217,1024
0.4,business and economy,0.9905123339658444,522,527,77.20306513409962,403
0.4,sport,1.0,508,508,93.50393700787401,475
0.4,arts and culture,0.9850374064837906,395,401,64.55696202531645,255
0.4,science and technology,0.9898648648648649,293,296,79.86348122866895,234
0.5,all,0.9843046267230791,7212,7327,84.38713255684969,6086
0.5,armed conflicts and attacks,0.9913087934560327,1939,1956,87.46776689014956,1696
0.5,politics and elections,0.9856927710843374,1309,1328,80.90145148968678,1059
0.5,law and crime,0.9832775919732442,1176,1196,80.52721088435374,947
0.5,disasters and accidents,0.989237668161435,1103,1115,92.8377153218495,1024
0.5,business and economy,0.969639468690702,511,527,78.08219178082192,399
0.5,sport,0.9921259842519685,504,508,94.24603174603175,475
0.5,arts and culture,0.9526184538653366,382,401,66.2303664921466,253
0.5,science and technology,0.972972972972973,288,296,80.90277777777777,233
0.6,all,0.9501842500341203,6962,7327,85.67940247055444,5965
0.6,armed conflicts and attacks,0.962678936605317,1883,1956,88.52894317578333,1667
0.6,politics and elections,0.9457831325301205,1256,1328,82.0859872611465,1031
0.6,law and crime,0.939799331103679,1124,1196,81.76156583629893,919
0.6,disasters and accidents,0.9757847533632287,1088,1115,93.47426470588235,1017
0.6,business and economy,0.9316888045540797,491,527,79.63340122199592,391
0.6,sport,0.9625984251968503,489,508,96.11451942740287,470
0.6,arts and culture,0.8802992518703242,353,401,68.27195467422096,241
0.6,science and technology,0.9391891891891891,278,296,82.37410071942446,229
0.7,all,0.918384058960011,6729,7327,87.13033140139694,5863
0.7,armed conflicts and attacks,0.9422290388548057,1843,1956,89.41942485078675,1648
0.7,politics and elections,0.9021084337349398,1198,1328,83.889816360601,1005
0.7,law and crime,0.9038461538461539,1081,1196,83.34875115633673,901
0.7,disasters and accidents,0.95695067264574,1067,1115,94.28303655107779,1006
0.7,business and economy,0.8994307400379506,474,527,81.64556962025317,387
0.7,sport,0.9429133858267716,479,508,97.07724425887265,465
0.7,arts and culture,0.8079800498753117,324,401,70.67901234567901,229
0.7,science and technology,0.8885135135135135,263,296,84.4106463878327,222
