TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
0.0,all,1.0,7327,7327,82.69414494336017,6059
0.0,armed conflicts and attacks,1.0,1956,1956,84.96932515337423,1662
0.0,politics and elections,1.0,1328,1328,81.25,1079
0.0,law and crime,1.0,1196,1196,75.91973244147157,908
0.0,disasters and accidents,1.0,1115,1115,92.10762331838565,1027
0.0,business and economy,1.0,527,527,80.07590132827325,422
0.0,sport,1.0,508,508,91.92913385826772,467
0.0,arts and culture,1.0,401,401,67.83042394014963,272
0.0,science and technology,1.0,296,296,75.0,222
0.1,all,1.0,7327,7327,82.6804967926846,6058
0.1,armed conflicts and attacks,1.0,1956,1956,84.96932515337423,1662
0.1,politics and elections,1.0,1328,1328,81.17469879518072,1078
0.1,law and crime,1.0,1196,1196,75.91973244147157,908
0.1,disasters and accidents,1.0,1115,1115,92.10762331838565,1027
0.1,business and economy,1.0,527,527,80.07590132827325,422
0.1,sport,1.0,508,508,91.92913385826772,467
0.1,arts and culture,1.0,401,401,67.83042394014963,272
0.1,science and technology,1.0,296,296,75.0,222
0.2,all,1.0,7327,7327,82.69414494336017,6059
0.2,armed conflicts and attacks,1.0,1956,1956,84.96932515337423,1662
0.2,politics and elections,1.0,1328,1328,81.25,1079
0.2,law and crime,1.0,1196,1196,76.00334448160535,909
0.2,disasters and accidents,1.0,1115,1115,92.01793721973094,1026
0.2,business and economy,1.0,527,527,80.07590132827325,422
0.2,sport,1.0,508,508,91.92913385826772,467
0.2,arts and culture,1.0,401,401,67.83042394014963,272
0.2,science and technology,1.0,296,296,75.0,222
0.3,all,0.9995905554797325,7324,7327,82.7416712179137,6060
0.3,armed conflicts and attacks,1.0,1956,1956,84.91820040899796,1661
0.3,politics and elections,1.0,1328,1328,81.25,1079
0.3,law and crime,0.9991638795986622,1195,1196,76.06694560669456,909
0.3,disasters and accidents,1.0,1115,1115,92.10762331838565,1027
0.3,business and economy,0.9981024667931688,526,527,80.22813688212928,422
0.3,sport,0.9980314960629921,507,508,92.11045364891518,467
0.3,arts and culture,1.0,401,401,68.07980049875312,273
0.3,science and technology,1.0,296,296,75.0,222
0.4,all,0.9964514808243483,7301,7327,82.90645117107246,6053
0.4,armed conflicts and attacks,0.9989775051124744,1954,1956,85.05629477993858,1662
0.4,politics and elections,0.9954819277108434,1322,1328,81.46747352496217,1077
