TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
0.0,all,1.0,7327,7327,82.5849597379555,6051
0.0,armed conflicts and attacks,1.0,1956,1956,88.0879345603272,1723
0.0,politics and elections,1.0,1328,1328,81.40060240963855,1081
0.0,law and crime,1.0,1196,1196,75.25083612040133,900
0.0,disasters and accidents,1.0,1115,1115,89.32735426008969,996
0.0,business and economy,1.0,527,527,75.33206831119544,397
0.0,sport,1.0,508,508,93.30708661417323,474
0.0,arts and culture,1.0,401,401,60.34912718204489,242
0.0,science and technology,1.0,296,296,80.4054054054054,238
0.1,all,1.0,7327,7327,82.57131158727992,6050
0.1,armed conflicts and attacks,1.0,1956,1956,87.98568507157464,1721
0.1,politics and elections,1.0,1328,1328,81.40060240963855,1081
0.1,law and crime,1.0,1196,1196,75.25083612040133,900
0.1,disasters and accidents,1.0,1115,1115,89.32735426008969,996
0.1,business and economy,1.0,527,527,75.33206831119544,397
0.1,sport,1.0,508,508,93.30708661417323,474
0.1,arts and culture,1.0,401,401,60.598503740648376,243
0.1,science and technology,1.0,296,296,80.4054054054054,238
0.2,all,1.0,7327,7327,82.55766343660434,6049
0.2,armed conflicts and attacks,1.0,1956,1956,87.98568507157464,1721
0.2,politics and elections,1.0,1328,1328,81.40060240963855,1081
0.2,law and crime,1.0,1196,1196,75.33444816053512,901
0.2,disasters and accidents,1.0,1115,1115,89.32735426008969,996
0.2,business and economy,1.0,527,527,75.33206831119544,397
0.2,sport,1.0,508,508,93.30708661417323,474
0.2,arts and culture,1.0,401,401,60.099750623441395,241
0.2,science and technology,1.0,296,296,80.4054054054054,238
0.3,all,1.0,7327,7327,82.5849597379555,6051
0.3,armed conflicts and attacks,1.0,1956,1956,88.03680981595092,1722
0.3,politics and elections,1.0,1328,1328,81.47590361445783,1082
0.3,law and crime,1.0,1196,1196,75.16722408026756,899
0.3,disasters and accidents,1.0,1115,1115,89.32735426008969,996
0.3,business and economy,1.0,527,527,75.33206831119544,397
0.3,sport,1.0,508,508,93.30708661417323,474
0.3,arts and culture,1.0,401,401,60.598503740648376,243
0.3,science and technology,1.0,296,296,80.4054054054054,238
0.4,all,0.9961785178108367,7299,7327,82.79216331004247,6043
0.4,armed conflicts and attacks,0.9964212678936605,1949,1956,88.19907644946126,1719
0.4,politics and elections,0.9977409638554217,1325,1328,81.58490566037736,1081
0.4,law and crime,0.9983277591973244,1194,1196,75.20938023450586,898
0.4,disasters and accidents,0.9964125560538116,1111,1115,89.64896489648964,996
0.4,business and economy,0.9924098671726755,523,527,75.90822179732314,397
0.4,sport,0.9980314960629921,507,508,93.49112426035504,474
0.4,arts and culture,0.9875311720698254,396,401,60.60606060606061,240
0.4,science and technology,0.9932432432432432,294,296,80.95238095238095,238
0.5,all,0.9845775897365907,7214,7327,83.39340171887996,6016
0.5,armed conflicts and attacks,0.9923312883435583,1941,1956,88.4080370942813,1716
0.5,politics and elections,0.9887048192771084,1313,1328,82.02589489718203,1077
0.5,law and crime,0.9841137123745819,1177,1196,76.12574341546303,896
0.5,disasters and accidents,0.9910313901345291,1105,1115,90.13574660633485,996
0.5,business and economy,0.9867172675521821,520,527,75.96153846153847,395
0.5,sport,0.9822834645669292,499,508,93.7875751503006,468
0.5,arts and culture,0.9301745635910225,373,401,62.19839142091153,232
0.5,science and technology,0.9662162162162162,286,296,82.51748251748252,236
0.6,all,0.9503207315408763,6963,7327,84.93465460290105,5914
