TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
0.0,all,1.0,7327,7327,83.04899686092534,6085
0.0,armed conflicts and attacks,1.0,1956,1956,87.57668711656441,1713
0.0,politics and elections,1.0,1328,1328,79.36746987951807,1054
0.0,law and crime,1.0,1196,1196,76.33779264214047,913
0.0,disasters and accidents,1.0,1115,1115,92.73542600896862,1034
0.0,business and economy,1.0,527,527,72.29601518026566,381
0.0,sport,1.0,508,508,91.14173228346456,463
0.0,arts and culture,1.0,401,401,74.3142144638404,298
0.0,science and technology,1.0,296,296,77.36486486486487,229
TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
0.0,all,1.0,7327,7327,83.29466357308584,6103
0.0,armed conflicts and attacks,1.0,1956,1956,85.63394683026584,1675
0.0,politics and elections,1.0,1328,1328,81.62650602409639,1084
0.0,law and crime,1.0,1196,1196,76.92307692307692,920
0.0,disasters and accidents,1.0,1115,1115,92.82511210762331,1035
0.0,business and economy,1.0,527,527,73.05502846299811,385
0.0,sport,1.0,508,508,93.11023622047244,473
0.0,arts and culture,1.0,401,401,75.56109725685785,303
0.0,science and technology,1.0,296,296,77.02702702702703,228
0.1,all,1.0,7327,7327,83.29466357308584,6103
0.1,armed conflicts and attacks,1.0,1956,1956,85.63394683026584,1675
0.1,politics and elections,1.0,1328,1328,81.62650602409639,1084
0.1,law and crime,1.0,1196,1196,76.92307692307692,920
0.1,disasters and accidents,1.0,1115,1115,92.91479820627802,1036
0.1,business and economy,1.0,527,527,73.05502846299811,385
0.1,sport,1.0,508,508,92.91338582677166,472
0.1,arts and culture,1.0,401,401,75.56109725685785,303
0.1,science and technology,1.0,296,296,77.02702702702703,228
0.2,all,1.0,7327,7327,83.30831172376143,6104
0.2,armed conflicts and attacks,1.0,1956,1956,85.63394683026584,1675
0.2,politics and elections,1.0,1328,1328,81.62650602409639,1084
0.2,law and crime,1.0,1196,1196,76.83946488294315,919
0.2,disasters and accidents,1.0,1115,1115,92.91479820627802,1036
0.2,business and economy,1.0,527,527,73.05502846299811,385
0.2,sport,1.0,508,508,92.91338582677166,472
0.2,arts and culture,1.0,401,401,75.81047381546135,304
0.2,science and technology,1.0,296,296,77.36486486486487,229
0.3,all,0.9998635184932442,7326,7327,83.31968331968332,6104
