TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
0.0,all,1.0,7327,7327,82.32564487511942,6032
0.0,armed conflicts and attacks,1.0,1956,1956,86.80981595092024,1698
0.0,politics and elections,1.0,1328,1328,75.90361445783132,1008
0.0,law and crime,1.0,1196,1196,81.10367892976589,970
0.0,disasters and accidents,1.0,1115,1115,89.4170403587444,997
0.0,business and economy,1.0,527,527,74.00379506641366,390
0.0,sport,1.0,508,508,91.53543307086615,465
0.0,arts and culture,1.0,401,401,65.83541147132169,264
0.0,science and technology,1.0,296,296,81.08108108108108,240
0.1,all,1.0,7327,7327,82.31199672444384,6031
0.1,armed conflicts and attacks,1.0,1956,1956,86.9120654396728,1700
0.1,politics and elections,1.0,1328,1328,75.82831325301204,1007
0.1,law and crime,1.0,1196,1196,81.10367892976589,970
0.1,disasters and accidents,1.0,1115,1115,89.4170403587444,997
0.1,business and economy,1.0,527,527,73.62428842504744,388
0.1,sport,1.0,508,508,91.53543307086615,465
0.1,arts and culture,1.0,401,401,65.83541147132169,264
0.1,science and technology,1.0,296,296,81.08108108108108,240
0.2,all,1.0,7327,7327,82.339293025795,6033
0.2,armed conflicts and attacks,1.0,1956,1956,86.86094069529652,1699
0.2,politics and elections,1.0,1328,1328,75.82831325301204,1007
0.2,law and crime,1.0,1196,1196,81.10367892976589,970
0.2,disasters and accidents,1.0,1115,1115,89.5067264573991,998
0.2,business and economy,1.0,527,527,74.00379506641366,390
0.2,sport,1.0,508,508,91.53543307086615,465
0.2,arts and culture,1.0,401,401,65.83541147132169,264
0.2,science and technology,1.0,296,296,81.08108108108108,240
0.3,all,0.9994540739729767,7323,7327,82.3433019254404,6030
0.3,armed conflicts and attacks,1.0,1956,1956,86.80981595092024,1698
0.3,politics and elections,0.9992469879518072,1327,1328,75.8854559155991,1007
0.3,law and crime,1.0,1196,1196,81.10367892976589,970
0.3,disasters and accidents,0.9991031390134529,1114,1115,89.5870736086176,998
0.3,business and economy,0.9981024667931688,526,527,74.1444866920152,390
0.3,sport,1.0,508,508,91.53543307086615,465
0.3,arts and culture,0.9975062344139651,400,401,65.75,263
0.3,science and technology,1.0,296,296,80.74324324324324,239
0.4,all,0.99508666575679,7291,7327,82.58126457276094,6021
0.4,armed conflicts and attacks,0.9994887525562373,1955,1956,86.8542199488491,1698
0.4,politics and elections,0.9932228915662651,1319,1328,75.96664139499622,1002
0.4,law and crime,0.9966555183946488,1192,1196,81.3758389261745,970
0.4,disasters and accidents,0.9964125560538116,1111,1115,89.64896489648964,996
0.4,business and economy,0.9867172675521821,520,527,75.0,390
0.4,sport,0.9940944881889764,505,508,91.88118811881188,464
0.4,arts and culture,0.9875311720698254,396,401,66.16161616161617,262
0.4,science and technology,0.9898648648648649,293,296,81.56996587030717,239
0.5,all,0.9837587006960556,7208,7327,83.17147613762486,5995
0.5,armed conflicts and attacks,0.99079754601227,1938,1956,87.30650154798762,1692
0.5,politics and elections,0.9759036144578314,1296,1328,76.7746913580247,995
0.5,law and crime,0.9891304347826086,1183,1196,81.74133558748943,967
0.5,disasters and accidents,0.989237668161435,1103,1115,90.29918404351768,996
0.5,business and economy,0.969639468690702,511,527,75.73385518590997,387
0.5,sport,0.9822834645669292,499,508,92.58517034068136,462
0.5,arts and culture,0.970074812967581,389,401,66.58097686375321,259
0.5,science and technology,0.9763513513513513,289,296,82.00692041522491,237
0.6,all,0.9519585096219463,6975,7327,84.60215053763442,5901
0.6,armed conflicts and attacks,0.9713701431492843,1900,1956,88.05263157894737,1673
0.6,politics and elections,0.9329819277108434,1239,1328,78.85391444713478,977
0.6,law and crime,0.9481605351170569,1134,1196,82.89241622574956,940
0.6,disasters and accidents,0.9632286995515695,1074,1115,91.89944134078212,987
0.6,business and economy,0.9259962049335864,488,527,77.45901639344262,378
0.6,sport,0.9645669291338582,490,508,93.46938775510205,458
0.6,arts and culture,0.912718204488778,366,401,68.85245901639344,252
0.6,science and technology,0.9594594594594594,284,296,83.09859154929578,236
0.7,all,0.9168827623856968,6718,7327,85.96308425126526,5775
0.7,armed conflicts and attacks,0.9458077709611452,1850,1956,89.24324324324324,1651
0.7,politics and elections,0.8945783132530121,1188,1328,80.13468013468014,952
0.7,law and crime,0.9038461538461539,1081,1196,84.27382053654024,911
0.7,disasters and accidents,0.9443946188340807,1053,1115,92.68755935422602,976
0.7,business and economy,0.8671726755218216,457,527,78.7746170678337,360
0.7,sport,0.9429133858267716,479,508,94.57202505219206,453
0.7,arts and culture,0.8478802992518704,340,401,70.88235294117646,241
0.7,science and technology,0.9121621621621622,270,296,85.55555555555556,231
0.8,all,0.8819434966562031,6462,7327,87.26400495202724,5639
0.8,armed conflicts and attacks,0.9156441717791411,1791,1956,90.61976549413735,1623
0.8,politics and elections,0.8501506024096386,1129,1328,81.39946855624446,919
0.8,law and crime,0.8662207357859532,1036,1196,85.71428571428571,888
0.8,disasters and accidents,0.9273542600896861,1034,1115,93.42359767891683,966
0.8,business and economy,0.8159392789373814,430,527,80.0,344
0.8,sport,0.9212598425196851,468,508,95.94017094017094,449
0.8,arts and culture,0.7805486284289277,313,401,71.8849840255591,225
0.8,science and technology,0.8817567567567568,261,296,86.20689655172414,225
0.9,all,0.8322642281970793,6098,7327,89.02918989832732,5429
0.9,armed conflicts and attacks,0.8778118609406953,1717,1956,91.67152009318579,1574
0.9,politics and elections,0.7981927710843374,1060,1328,83.67924528301887,887
0.9,law and crime,0.818561872909699,979,1196,87.53830439223698,857
0.9,disasters and accidents,0.8914798206278027,994,1115,94.96981891348088,944
0.9,business and economy,0.7305502846299811,385,527,81.81818181818181,315
0.9,sport,0.8917322834645669,453,508,96.90949227373068,439
0.9,arts and culture,0.6733167082294265,270,401,75.18518518518519,203
0.9,science and technology,0.8108108108108109,240,296,87.5,210
