TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
0.0,all,1.0,7327,7327,81.83431145079841,5996
0.0,armed conflicts and attacks,1.0,1956,1956,86.75869120654397,1697
0.0,politics and elections,1.0,1328,1328,79.81927710843374,1060
0.0,law and crime,1.0,1196,1196,69.06354515050167,826
0.0,disasters and accidents,1.0,1115,1115,89.23766816143498,995
0.0,business and economy,1.0,527,527,78.17836812144212,412
0.0,sport,1.0,508,508,95.66929133858268,486
0.0,arts and culture,1.0,401,401,69.57605985037407,279
0.0,science and technology,1.0,296,296,81.41891891891892,241
0.1,all,1.0,7327,7327,81.86160775214958,5998
0.1,armed conflicts and attacks,1.0,1956,1956,86.80981595092024,1698
0.1,politics and elections,1.0,1328,1328,79.894578313253,1061
0.1,law and crime,1.0,1196,1196,69.06354515050167,826
0.1,disasters and accidents,1.0,1115,1115,89.23766816143498,995
0.1,business and economy,1.0,527,527,78.17836812144212,412
0.1,sport,1.0,508,508,95.66929133858268,486
0.1,arts and culture,1.0,401,401,69.57605985037407,279
0.1,science and technology,1.0,296,296,81.41891891891892,241
0.2,all,1.0,7327,7327,81.82066330012283,5995
0.2,armed conflicts and attacks,1.0,1956,1956,86.70756646216769,1696
0.2,politics and elections,1.0,1328,1328,79.81927710843374,1060
0.2,law and crime,1.0,1196,1196,69.06354515050167,826
0.2,disasters and accidents,1.0,1115,1115,89.23766816143498,995
0.2,business and economy,1.0,527,527,78.17836812144212,412
0.2,sport,1.0,508,508,95.66929133858268,486
0.2,arts and culture,1.0,401,401,69.57605985037407,279
0.2,science and technology,1.0,296,296,81.41891891891892,241
0.3,all,0.9990446294527091,7320,7327,81.87158469945355,5993
0.3,armed conflicts and attacks,0.9994887525562373,1955,1956,86.70076726342711,1695
0.3,politics and elections,0.9984939759036144,1326,1328,80.01508295625943,1061
0.3,law and crime,0.9983277591973244,1194,1196,69.01172529313233,824
0.3,disasters and accidents,0.9991031390134529,1114,1115,89.3177737881508,995
0.3,business and economy,0.9981024667931688,526,527,78.32699619771863,412
0.3,sport,1.0,508,508,95.66929133858268,486
0.3,arts and culture,1.0,401,401,69.57605985037407,279
0.3,science and technology,1.0,296,296,81.41891891891892,241
0.4,all,0.9957690732905691,7296,7327,82.03125,5985
0.4,armed conflicts and attacks,0.9969325153374233,1950,1956,86.87179487179488,1694
0.4,politics and elections,0.9954819277108434,1322,1328,80.18154311649016,1060
0.4,law and crime,0.9974916387959866,1193,1196,69.1533948030176,825
0.4,disasters and accidents,0.9946188340807175,1109,1115,89.54012623985572,993
0.4,business and economy,0.9943074003795066,524,527,78.43511450381679,411
0.4,sport,0.9980314960629921,507,508,95.66074950690336,485
0.4,arts and culture,0.9875311720698254,396,401,69.6969696969697,276
0.4,science and technology,0.9966216216216216,295,296,81.69491525423729,241
0.5,all,0.9823938856284974,7198,7327,82.84245623784385,5963
0.5,armed conflicts and attacks,0.9882413087934561,1933,1956,87.48060010346612,1691
0.5,politics and elections,0.983433734939759,1306,1328,80.93415007656968,1057
0.5,law and crime,0.9765886287625418,1168,1196,69.9486301369863,817
0.5,disasters and accidents,0.9829596412556054,1096,1115,90.51094890510949,992
0.5,business and economy,0.9753320683111955,514,527,79.76653696498055,410
0.5,sport,0.9921259842519685,504,508,95.83333333333333,483
0.5,arts and culture,0.9625935162094763,386,401,70.72538860103627,273
0.5,science and technology,0.9831081081081081,291,296,82.47422680412372,240
0.6,all,0.9523679541422138,6978,7327,84.04987102321581,5865
0.6,armed conflicts and attacks,0.9677914110429447,1893,1956,88.53671421024828,1676
0.6,politics and elections,0.9465361445783133,1257,1328,82.33890214797135,1035
0.6,law and crime,0.9364548494983278,1120,1196,71.16071428571429,797
0.6,disasters and accidents,0.9596412556053812,1070,1115,91.40186915887851,978
0.6,business and economy,0.937381404174573,494,527,81.17408906882591,401
0.6,sport,0.9763779527559056,496,508,96.37096774193549,478
0.6,arts and culture,0.9152119700748129,367,401,72.20708446866485,265
0.6,science and technology,0.9493243243243243,281,296,83.62989323843416,235
0.7,all,0.9189299849870343,6733,7327,85.56364176444379,5761
0.7,armed conflicts and attacks,0.9422290388548057,1843,1956,89.90775908844276,1657
0.7,politics and elections,0.9066265060240963,1204,1328,84.63455149501661,1019
0.7,law and crime,0.8846153846153846,1058,1196,72.58979206049149,768
0.7,disasters and accidents,0.9443946188340807,1053,1115,91.92782526115859,968
0.7,business and economy,0.8975332068311196,473,527,83.08668076109936,393
0.7,sport,0.9665354330708661,491,508,96.74134419551935,475
0.7,arts and culture,0.8603491271820449,345,401,73.33333333333333,253
0.7,science and technology,0.8986486486486487,266,296,85.71428571428571,228
0.8,all,0.8790773850143305,6441,7327,87.09827666511411,5610
0.8,armed conflicts and attacks,0.9100204498977505,1780,1956,91.12359550561797,1622
0.8,politics and elections,0.8659638554216867,1150,1328,86.52173913043478,995
0.8,law and crime,0.8285953177257525,991,1196,73.9656912209889,733
0.8,disasters and accidents,0.9237668161434978,1030,1115,93.20388349514563,960
0.8,business and economy,0.8349146110056926,440,527,85.0,374
0.8,sport,0.9429133858267716,479,508,97.49478079331942,467
0.8,arts and culture,0.7830423940149626,314,401,75.1592356687898,236
0.8,science and technology,0.8682432432432432,257,296,86.7704280155642,223
0.9,all,0.8268049679268459,6058,7327,89.03928689336415,5394
0.9,armed conflicts and attacks,0.8686094069529653,1699,1956,92.4072984108299,1570
0.9,politics and elections,0.8140060240963856,1081,1328,88.25161887141536,954
0.9,law and crime,0.7408026755852842,886,1196,77.20090293453724,684
0.9,disasters and accidents,0.9013452914798207,1005,1115,93.93034825870647,944
0.9,business and economy,0.7893738140417458,416,527,86.77884615384616,361
0.9,sport,0.9173228346456693,466,508,98.28326180257511,458
0.9,arts and culture,0.6783042394014963,272,401,78.67647058823529,214
0.9,science and technology,0.7871621621621622,233,296,89.69957081545064,209
