TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
0.0,all,1.0,7327,7327,81.23379282107274,5952
0.0,armed conflicts and attacks,1.0,1956,1956,89.11042944785277,1743
0.0,politics and elections,1.0,1328,1328,79.2921686746988,1053
0.0,law and crime,1.0,1196,1196,64.21404682274247,768
0.0,disasters and accidents,1.0,1115,1115,92.28699551569507,1029
0.0,business and economy,1.0,527,527,74.38330170777989,392
0.0,sport,1.0,508,508,93.30708661417323,474
0.0,arts and culture,1.0,401,401,69.07730673316708,277
0.0,science and technology,1.0,296,296,72.97297297297297,216
0.1,all,1.0,7327,7327,81.23379282107274,5952
0.1,armed conflicts and attacks,1.0,1956,1956,89.11042944785277,1743
0.1,politics and elections,1.0,1328,1328,79.36746987951807,1054
0.1,law and crime,1.0,1196,1196,64.21404682274247,768
0.1,disasters and accidents,1.0,1115,1115,92.28699551569507,1029
0.1,business and economy,1.0,527,527,74.38330170777989,392
0.1,sport,1.0,508,508,93.50393700787401,475
0.1,arts and culture,1.0,401,401,68.5785536159601,275
0.1,science and technology,1.0,296,296,72.97297297297297,216
0.2,all,1.0,7327,7327,81.26108912242391,5954
0.2,armed conflicts and attacks,1.0,1956,1956,89.16155419222903,1744
0.2,politics and elections,1.0,1328,1328,79.36746987951807,1054
0.2,law and crime,1.0,1196,1196,64.1304347826087,767
0.2,disasters and accidents,1.0,1115,1115,92.28699551569507,1029
0.2,business and economy,1.0,527,527,74.573055028463,393
0.2,sport,1.0,508,508,93.50393700787401,475
0.2,arts and culture,1.0,401,401,68.5785536159601,275
0.2,science and technology,1.0,296,296,73.3108108108108,217
0.3,all,0.9995905554797325,7324,7327,81.30802839978153,5955
0.3,armed conflicts and attacks,0.9994887525562373,1955,1956,89.20716112531969,1744
0.3,politics and elections,0.9992469879518072,1327,1328,79.42727957799548,1054
0.3,law and crime,1.0,1196,1196,64.21404682274247,768
0.3,disasters and accidents,0.9991031390134529,1114,1115,92.28007181328546,1028
0.3,business and economy,1.0,527,527,74.38330170777989,392
0.3,sport,1.0,508,508,93.50393700787401,475
0.3,arts and culture,1.0,401,401,69.07730673316708,277
0.3,science and technology,1.0,296,296,73.3108108108108,217
0.4,all,0.9956325917838132,7295,7327,81.46675805346128,5943
0.4,armed conflicts and attacks,0.9964212678936605,1949,1956,89.32786044125193,1741
0.4,politics and elections,0.9977409638554217,1325,1328,79.39622641509433,1052
0.4,law and crime,0.9916387959866221,1186,1196,64.41821247892074,764
0.4,disasters and accidents,0.9982062780269059,1113,1115,92.27313566936209,1027
0.4,business and economy,0.9981024667931688,526,527,74.52471482889734,392
0.4,sport,0.9960629921259843,506,508,93.47826086956522,473
0.4,arts and culture,0.9900249376558603,397,401,69.77329974811083,277
0.4,science and technology,0.9898648648648649,293,296,74.06143344709898,217
0.5,all,0.9830762931622765,7203,7327,82.10467860613633,5914
0.5,armed conflicts and attacks,0.9918200408997955,1940,1956,89.58762886597938,1738
0.5,politics and elections,0.9826807228915663,1305,1328,80.38314176245211,1049
0.5,law and crime,0.975752508361204,1167,1196,64.78149100257069,756
0.5,disasters and accidents,0.9901345291479821,1104,1115,92.7536231884058,1024
0.5,business and economy,0.9829222011385199,518,527,75.48262548262548,391
0.5,sport,0.9881889763779528,502,508,94.02390438247012,472
0.5,arts and culture,0.9576059850374065,384,401,70.3125,270
0.5,science and technology,0.956081081081081,283,296,75.61837455830388,214
0.6,all,0.9511396205814112,6969,7327,83.57009614004879,5824
0.6,armed conflicts and attacks,0.9749488752556237,1907,1956,90.45621394861038,1725
0.6,politics and elections,0.9563253012048193,1270,1328,81.33858267716535,1033
0.6,law and crime,0.9063545150501672,1084,1196,67.06642066420665,727
0.6,disasters and accidents,0.9775784753363229,1090,1115,93.4862385321101,1019
0.6,business and economy,0.9468690702087287,499,527,76.95390781563127,384
0.6,sport,0.9744094488188977,495,508,94.74747474747475,469
0.6,arts and culture,0.8753117206982544,351,401,72.93447293447294,256
0.6,science and technology,0.9222972972972973,273,296,77.28937728937728,211
0.7,all,0.9212501706018834,6750,7327,84.85925925925926,5728
0.7,armed conflicts and attacks,0.9601226993865031,1878,1956,91.05431309904154,1710
0.7,politics and elections,0.9201807228915663,1222,1328,82.97872340425532,1014
0.7,law and crime,0.8662207357859532,1036,1196,68.24324324324324,707
0.7,disasters and accidents,0.9641255605381166,1075,1115,94.32558139534883,1014
0.7,business and economy,0.9032258064516129,476,527,78.36134453781513,373
0.7,sport,0.9507874015748031,483,508,95.65217391304348,462
0.7,arts and culture,0.8154613466334164,327,401,74.92354740061162,245
0.7,science and technology,0.8547297297297297,253,296,80.23715415019763,203
0.8,all,0.888631090487239,6511,7327,85.96221778528644,5597
0.8,armed conflicts and attacks,0.9396728016359919,1838,1956,91.89336235038085,1689
0.8,politics and elections,0.8817771084337349,1171,1328,84.11614005123826,985
0.8,law and crime,0.8152173913043478,975,1196,69.23076923076923,675
0.8,disasters and accidents,0.9506726457399103,1060,1115,95.0,1007
0.8,business and economy,0.857685009487666,452,527,80.30973451327434,363
0.8,sport,0.937007874015748,476,508,96.00840336134453,457
0.8,arts and culture,0.7531172069825436,302,401,76.49006622516556,231
0.8,science and technology,0.8006756756756757,237,296,80.16877637130801,190
0.9,all,0.8405896001091852,6159,7327,87.92011690209449,5415
0.9,armed conflicts and attacks,0.9100204498977505,1780,1956,92.92134831460675,1654
0.9,politics and elections,0.8200301204819277,1089,1328,86.31772268135904,940
0.9,law and crime,0.7433110367892977,889,1196,71.54105736782903,636
0.9,disasters and accidents,0.9291479820627803,1036,1115,95.75289575289575,992
0.9,business and economy,0.7741935483870968,408,527,83.33333333333333,340
0.9,sport,0.9153543307086615,465,508,96.98924731182795,451
0.9,arts and culture,0.6907730673316709,277,401,79.78339350180505,221
0.9,science and technology,0.7263513513513513,215,296,84.18604651162791,181
