TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
0.0,all,1.0,7327,7327,82.32564487511942,6032
0.0,armed conflicts and attacks,1.0,1956,1956,86.65644171779141,1695
0.0,politics and elections,1.0,1328,1328,78.01204819277109,1036
0.0,law and crime,1.0,1196,1196,72.40802675585284,866
0.0,disasters and accidents,1.0,1115,1115,88.87892376681614,991
0.0,business and economy,1.0,527,527,85.00948766603416,448
0.0,sport,1.0,508,508,93.89763779527559,477
0.0,arts and culture,1.0,401,401,71.57107231920199,287
0.0,science and technology,1.0,296,296,78.37837837837837,232
0.1,all,1.0,7327,7327,82.39388562849734,6037
0.1,armed conflicts and attacks,1.0,1956,1956,86.75869120654397,1697
0.1,politics and elections,1.0,1328,1328,78.08734939759036,1037
0.1,law and crime,1.0,1196,1196,72.40802675585284,866
0.1,disasters and accidents,1.0,1115,1115,88.87892376681614,991
0.1,business and economy,1.0,527,527,85.19924098671727,449
0.1,sport,1.0,508,508,93.89763779527559,477
0.1,arts and culture,1.0,401,401,71.57107231920199,287
0.1,science and technology,1.0,296,296,78.71621621621621,233
0.2,all,1.0,7327,7327,82.38023747782175,6036
0.2,armed conflicts and attacks,1.0,1956,1956,86.75869120654397,1697
0.2,politics and elections,1.0,1328,1328,78.08734939759036,1037
0.2,law and crime,1.0,1196,1196,72.40802675585284,866
0.2,disasters and accidents,1.0,1115,1115,88.87892376681614,991
0.2,business and economy,1.0,527,527,85.00948766603416,448
0.2,sport,1.0,508,508,93.89763779527559,477
0.2,arts and culture,1.0,401,401,71.57107231920199,287
0.2,science and technology,1.0,296,296,78.71621621621621,233
0.3,all,1.0,7327,7327,82.38023747782175,6036
0.3,armed conflicts and attacks,1.0,1956,1956,86.80981595092024,1698
0.3,politics and elections,1.0,1328,1328,78.08734939759036,1037
0.3,law and crime,1.0,1196,1196,72.40802675585284,866
0.3,disasters and accidents,1.0,1115,1115,88.87892376681614,991
0.3,business and economy,1.0,527,527,85.00948766603416,448
0.3,sport,1.0,508,508,93.7007874015748,476
0.3,arts and culture,1.0,401,401,71.57107231920199,287
0.3,science and technology,1.0,296,296,78.71621621621621,233
0.4,all,0.99508666575679,7291,7327,82.67727335070634,6028
0.4,armed conflicts and attacks,0.9974437627811861,1951,1956,86.92977960020502,1696
0.4,politics and elections,0.9954819277108434,1322,1328,78.44175491679273,1037
0.4,law and crime,0.9924749163879598,1187,1196,72.78854254422914,864
0.4,disasters and accidents,0.9955156950672646,1110,1115,89.09909909909909,989
0.4,business and economy,0.9981024667931688,526,527,85.17110266159696,448
0.4,sport,0.9960629921259843,506,508,94.26877470355731,477
0.4,arts and culture,0.9925187032418953,398,401,71.85929648241206,286
0.4,science and technology,0.9831081081081081,291,296,79.38144329896907,231
0.5,all,0.9833492561757882,7205,7327,83.24774462179042,5998
0.5,armed conflicts and attacks,0.9882413087934561,1933,1956,87.5840662183135,1693
0.5,politics and elections,0.9849397590361446,1308,1328,78.59327217125383,1028
0.5,law and crime,0.975752508361204,1167,1196,73.43616109682948,857
0.5,disasters and accidents,0.9883408071748879,1102,1115,89.65517241379311,988
0.5,business and economy,0.9886148007590133,521,527,85.4126679462572,445
0.5,sport,0.984251968503937,500,508,94.8,474
0.5,arts and culture,0.970074812967581,389,401,73.00771208226222,284
0.5,science and technology,0.9628378378378378,285,296,80.35087719298245,229
0.6,all,0.9500477685273645,6961,7327,84.49935354115787,5882
0.6,armed conflicts and attacks,0.9693251533742331,1896,1956,88.39662447257383,1676
0.6,politics and elections,0.9412650602409639,1250,1328,80.16,1002
0.6,law and crime,0.9222408026755853,1103,1196,75.06799637352674,828
0.6,disasters and accidents,0.95695067264574,1067,1115,91.28397375820056,974
0.6,business and economy,0.969639468690702,511,527,85.90998043052838,439
0.6,sport,0.9645669291338582,490,508,95.10204081632654,466
0.6,arts and culture,0.9102244389027432,365,401,73.97260273972603,270
0.6,science and technology,0.9425675675675675,279,296,81.36200716845879,227
0.7,all,0.9185205404667668,6730,7327,85.86924219910847,5779
0.7,armed conflicts and attacks,0.9427402862985685,1844,1956,89.80477223427332,1656
0.7,politics and elections,0.9088855421686747,1207,1328,81.52444076222038,984
0.7,law and crime,0.8678929765886287,1038,1196,76.6859344894027,796
0.7,disasters and accidents,0.9417040358744395,1050,1115,92.28571428571429,969
0.7,business and economy,0.9335863377609108,492,527,87.39837398373983,430
0.7,sport,0.9507874015748031,483,508,95.23809523809524,460
0.7,arts and culture,0.8653366583541147,347,401,74.63976945244957,259
0.7,science and technology,0.9087837837837838,269,296,83.64312267657992,225
0.8,all,0.8807151630954005,6453,7327,87.1377653804432,5623
0.8,armed conflicts and attacks,0.9125766871165644,1785,1956,90.92436974789916,1623
0.8,politics and elections,0.8606927710843374,1143,1328,82.76465441819772,946
0.8,law and crime,0.8210702341137124,982,1196,77.80040733197556,764
0.8,disasters and accidents,0.9076233183856502,1012,1115,93.57707509881423,947
0.8,business and economy,0.8975332068311196,473,527,88.79492600422833,420
0.8,sport,0.937007874015748,476,508,95.58823529411765,455
0.8,arts and culture,0.8104738154613467,325,401,76.61538461538461,249
0.8,science and technology,0.8682432432432432,257,296,85.21400778210116,219
0.9,all,0.8228470042309267,6029,7327,89.5173328910267,5397
0.9,armed conflicts and attacks,0.8711656441717791,1704,1956,93.13380281690141,1587
0.9,politics and elections,0.7914156626506024,1051,1328,84.96669838249286,893
0.9,law and crime,0.7366220735785953,881,1196,80.47673098751419,709
0.9,disasters and accidents,0.8618834080717489,961,1115,95.42143600416233,917
0.9,business and economy,0.8368121442125237,441,527,91.15646258503402,402
0.9,sport,0.9035433070866141,459,508,96.73202614379085,444
0.9,arts and culture,0.713216957605985,286,401,80.06993006993007,229
0.9,science and technology,0.831081081081081,246,296,87.8048780487805,216
