TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
0.0,all,1.0,7327,7327,83.03534871024976,6084
0.0,armed conflicts and attacks,1.0,1956,1956,88.24130879345603,1726
0.0,politics and elections,1.0,1328,1328,80.42168674698796,1068
0.0,law and crime,1.0,1196,1196,73.24414715719064,876
0.0,disasters and accidents,1.0,1115,1115,91.4798206278027,1020
0.0,business and economy,1.0,527,527,77.60910815939279,409
0.0,sport,1.0,508,508,94.09448818897638,478
0.0,arts and culture,1.0,401,401,68.5785536159601,275
0.0,science and technology,1.0,296,296,78.37837837837837,232
0.1,all,1.0,7327,7327,82.99440425822301,6081
0.1,armed conflicts and attacks,1.0,1956,1956,88.19018404907976,1725
0.1,politics and elections,1.0,1328,1328,80.42168674698796,1068
0.1,law and crime,1.0,1196,1196,73.24414715719064,876
0.1,disasters and accidents,1.0,1115,1115,91.4798206278027,1020
0.1,business and economy,1.0,527,527,77.41935483870968,408
0.1,sport,1.0,508,508,94.29133858267717,479
0.1,arts and culture,1.0,401,401,68.07980049875312,273
0.1,science and technology,1.0,296,296,78.37837837837837,232
0.2,all,1.0,7327,7327,83.00805240889859,6082
0.2,armed conflicts and attacks,1.0,1956,1956,88.19018404907976,1725
0.2,politics and elections,1.0,1328,1328,80.42168674698796,1068
0.2,law and crime,1.0,1196,1196,73.24414715719064,876
0.2,disasters and accidents,1.0,1115,1115,91.39013452914799,1019
0.2,business and economy,1.0,527,527,77.60910815939279,409
0.2,sport,1.0,508,508,94.29133858267717,479
0.2,arts and culture,1.0,401,401,68.3291770573566,274
0.2,science and technology,1.0,296,296,78.37837837837837,232
0.3,all,0.9998635184932442,7326,7327,83.005733005733,6081
0.3,armed conflicts and attacks,1.0,1956,1956,88.19018404907976,1725
0.3,politics and elections,1.0,1328,1328,80.34638554216868,1067
0.3,law and crime,0.9991638795986622,1195,1196,73.30543933054393,876
0.3,disasters and accidents,1.0,1115,1115,91.4798206278027,1020
0.3,business and economy,1.0,527,527,77.60910815939279,409
0.3,sport,1.0,508,508,94.29133858267717,479
0.3,arts and culture,1.0,401,401,68.07980049875312,273
0.3,science and technology,1.0,296,296,78.37837837837837,232
0.4,all,0.9935853691824758,7280,7327,83.32417582417582,6066
0.4,armed conflicts and attacks,0.9989775051124744,1954,1956,88.2804503582395,1725
0.4,politics and elections,0.9909638554216867,1316,1328,80.85106382978724,1064
0.4,law and crime,0.9908026755852842,1185,1196,73.50210970464136,871
0.4,disasters and accidents,0.9928251121076234,1107,1115,91.9602529358627,1018
0.4,business and economy,0.9924098671726755,523,527,78.20267686424474,409
0.4,sport,0.9980314960629921,507,508,94.2800788954635,478
0.4,arts and culture,0.9825436408977556,394,401,68.2741116751269,269
0.4,science and technology,0.9932432432432432,294,296,78.91156462585035,232
0.5,all,0.9792548109731132,7175,7327,84.0418118466899,6030
0.5,armed conflicts and attacks,0.9887525562372188,1934,1956,88.77973112719752,1717
0.5,politics and elections,0.9759036144578314,1296,1328,81.6358024691358,1058
0.5,law and crime,0.9707357859531772,1161,1196,74.24633936261843,862
0.5,disasters and accidents,0.9865470852017937,1100,1115,92.36363636363636,1016
0.5,business and economy,0.9715370018975332,512,527,79.1015625,405
0.5,sport,0.9901574803149606,503,508,94.63220675944333,476
0.5,arts and culture,0.9476309226932669,380,401,69.73684210526316,265
0.5,science and technology,0.9763513513513513,289,296,79.93079584775087,231
0.6,all,0.9464992493517128,6935,7327,85.36409516943043,5920
0.6,armed conflicts and attacks,0.9652351738241309,1888,1956,89.98940677966101,1699
0.6,politics and elections,0.9337349397590361,1240,1328,82.90322580645162,1028
0.6,law and crime,0.9264214046822743,1108,1196,75.63176895306859,838
0.6,disasters and accidents,0.9704035874439462,1082,1115,93.3456561922366,1010
0.6,business and economy,0.9354838709677419,493,527,80.12170385395538,395
0.6,sport,0.968503937007874,492,508,95.32520325203252,469
0.6,arts and culture,0.8827930174563591,354,401,71.75141242937853,254
0.6,science and technology,0.9391891891891891,278,296,81.65467625899281,227
0.7,all,0.9081479459533234,6654,7327,86.88007213706041,5781
0.7,armed conflicts and attacks,0.9320040899795501,1823,1956,91.49753154141526,1668
0.7,politics and elections,0.8930722891566265,1186,1328,84.2327150084317,999
0.7,law and crime,0.8729096989966555,1044,1196,77.20306513409962,806
0.7,disasters and accidents,0.9479820627802691,1057,1115,94.5127719962157,999
0.7,business and economy,0.8785578747628083,463,527,82.07343412526998,380
0.7,sport,0.9468503937007874,481,508,96.67359667359668,465
0.7,arts and culture,0.8453865336658354,339,401,73.15634218289085,248
0.7,science and technology,0.8817567567567568,261,296,82.75862068965517,216
0.8,all,0.8669305309130613,6352,7327,88.28715365239294,5608
0.8,armed conflicts and attacks,0.9069529652351738,1774,1956,92.67192784667418,1644
0.8,politics and elections,0.8411144578313253,1117,1328,85.76544315129811,958
0.8,law and crime,0.8202341137123745,981,1196,78.49133537206932,770
0.8,disasters and accidents,0.9165919282511211,1022,1115,95.69471624266144,978
0.8,business and economy,0.825426944971537,435,527,83.67816091954023,364
0.8,sport,0.9192913385826772,467,508,97.64453961456103,456
0.8,arts and culture,0.7630922693266833,306,401,73.52941176470588,225
0.8,science and technology,0.8445945945945946,250,296,85.2,213
0.9,all,0.8066057049269824,5910,7327,90.45685279187818,5346
0.9,armed conflicts and attacks,0.8594069529652352,1681,1956,94.52706722189173,1589
0.9,politics and elections,0.7846385542168675,1042,1328,88.1957773512476,919
0.9,law and crime,0.729933110367893,873,1196,80.98510882016036,707
0.9,disasters and accidents,0.884304932735426,986,1115,96.34888438133875,950
0.9,business and economy,0.7438330170777988,392,527,85.96938775510205,337
0.9,sport,0.8858267716535433,450,508,98.66666666666667,444
0.9,arts and culture,0.6309226932668329,253,401,77.86561264822134,197
0.9,science and technology,0.7871621621621622,233,296,87.12446351931331,203
