TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
0.0,all,1.0,7327,7327,83.39020062781493,6110
0.0,armed conflicts and attacks,1.0,1956,1956,89.36605316973416,1748
0.0,politics and elections,1.0,1328,1328,80.2710843373494,1066
0.0,law and crime,1.0,1196,1196,76.08695652173913,910
0.0,disasters and accidents,1.0,1115,1115,91.12107623318386,1016
0.0,business and economy,1.0,527,527,72.10626185958255,380
0.0,sport,1.0,508,508,89.37007874015748,454
0.0,arts and culture,1.0,401,401,70.82294264339153,284
0.0,science and technology,1.0,296,296,85.13513513513513,252
0.1,all,1.0,7327,7327,83.43114507984168,6113
0.1,armed conflicts and attacks,1.0,1956,1956,89.36605316973416,1748
0.1,politics and elections,1.0,1328,1328,80.2710843373494,1066
0.1,law and crime,1.0,1196,1196,76.08695652173913,910
0.1,disasters and accidents,1.0,1115,1115,91.30044843049328,1018
0.1,business and economy,1.0,527,527,71.91650853889944,379
0.1,sport,1.0,508,508,89.76377952755905,456
0.1,arts and culture,1.0,401,401,70.82294264339153,284
0.1,science and technology,1.0,296,296,85.13513513513513,252
0.2,all,1.0,7327,7327,83.43114507984168,6113
0.2,armed conflicts and attacks,1.0,1956,1956,89.36605316973416,1748
0.2,politics and elections,1.0,1328,1328,80.2710843373494,1066
0.2,law and crime,1.0,1196,1196,76.17056856187291,911
0.2,disasters and accidents,1.0,1115,1115,91.12107623318386,1016
0.2,business and economy,1.0,527,527,72.10626185958255,380
0.2,sport,1.0,508,508,89.76377952755905,456
0.2,arts and culture,1.0,401,401,70.82294264339153,284
0.2,science and technology,1.0,296,296,85.13513513513513,252
0.3,all,0.9997270369864883,7325,7327,83.45392491467577,6113
0.3,armed conflicts and attacks,1.0,1956,1956,89.36605316973416,1748
0.3,politics and elections,1.0,1328,1328,80.34638554216868,1067
0.3,law and crime,1.0,1196,1196,76.08695652173913,910
0.3,disasters and accidents,1.0,1115,1115,91.30044843049328,1018
0.3,business and economy,1.0,527,527,72.10626185958255,380
0.3,sport,0.9960629921259843,506,508,89.9209486166008,455
0.3,arts and culture,1.0,401,401,70.57356608478803,283
0.3,science and technology,1.0,296,296,85.13513513513513,252
0.4,all,0.9957690732905691,7296,7327,83.75822368421052,6111
0.4,armed conflicts and attacks,0.9989775051124744,1954,1956,89.4575230296827,1748
0.4,politics and elections,0.9962349397590361,1323,1328,80.57445200302344,1066
0.4,law and crime,0.9949832775919732,1190,1196,76.63865546218487,912
0.4,disasters and accidents,0.9991031390134529,1114,1115,91.20287253141831,1016
0.4,business and economy,0.9905123339658444,522,527,72.79693486590038,380
0.4,sport,0.9901574803149606,503,508,90.4572564612326,455
0.4,arts and culture,0.9875311720698254,396,401,71.21212121212122,282
0.4,science and technology,0.9932432432432432,294,296,85.71428571428571,252
0.5,all,0.9848505527501024,7216,7327,84.36807095343681,6088
0.5,armed conflicts and attacks,0.9913087934560327,1939,1956,89.94326972666323,1744
0.5,politics and elections,0.9932228915662651,1319,1328,80.74298711144807,1065
0.5,law and crime,0.9816053511705686,1174,1196,77.42759795570699,909
0.5,disasters and accidents,0.9883408071748879,1102,1115,91.92377495462794,1013
0.5,business and economy,0.9734345351043643,513,527,73.48927875243665,377
0.5,sport,0.9763779527559056,496,508,91.33064516129032,453
0.5,arts and culture,0.9600997506234414,385,401,71.94805194805195,277
0.5,science and technology,0.972972972972973,288,296,86.80555555555556,250
0.6,all,0.9523679541422138,6978,7327,85.92719977070794,5996
